IPAddresses
"InterfaceAlias","IPAddress","AddressFamily"
"Loopback Pseudo-Interface 1","::1","IPv6"
"Ethernet","10.0.2.7","IPv4"
"Loopback Pseudo-Interface 1","127.0.0.1","IPv4"
RoutingTable
"InterfaceAlias","DestinationPrefix","NextHop","RouteMetric"
"Ethernet","255.255.255.255/32","0.0.0.0","256"
"Loopback Pseudo-Interface 1","255.255.255.255/32","0.0.0.0","256"
"Ethernet","224.0.0.0/4","0.0.0.0","256"
"Loopback Pseudo-Interface 1","224.0.0.0/4","0.0.0.0","256"
"Loopback Pseudo-Interface 1","127.255.255.255/32","0.0.0.0","256"
"Loopback Pseudo-Interface 1","127.0.0.1/32","0.0.0.0","256"
"Loopback Pseudo-Interface 1","127.0.0.0/8","0.0.0.0","256"
"Ethernet","10.0.2.255/32","0.0.0.0","256"
"Ethernet","10.0.2.7/32","0.0.0.0","256"
"Ethernet","10.0.2.0/24","0.0.0.0","256"
"Ethernet","0.0.0.0/0","10.0.2.1","256"
"Loopback Pseudo-Interface 1","ff00::/8","::","256"
"Loopback Pseudo-Interface 1","::1/128","::","256"
ListeningPorts
"LocalAddress","LocalPort","OwningProcess"
"::","62844","2916"
"::","62829","700"
"::","62824","708"
"::","55055","2908"
"::","49668","708"
"::","49667","1752"
"::","49666","1220"
"::","49665","556"
"::","49664","708"
"::","47001","4"
"::","9389","2948"
"::","5986","4"
"::","5985","4"
"::","593","980"
"::","464","708"
"::","445","4"
"::","135","980"
"::","88","708"
"::1","53","2916"
"0.0.0.0","62844","2916"
"0.0.0.0","62829","700"
"0.0.0.0","62824","708"
"0.0.0.0","55055","2908"
"0.0.0.0","49668","708"
"0.0.0.0","49667","1752"
"0.0.0.0","49666","1220"
"0.0.0.0","49665","556"
"0.0.0.0","49664","708"
"0.0.0.0","9389","2948"
"0.0.0.0","3269","708"
"0.0.0.0","3268","708"
"0.0.0.0","636","708"
"0.0.0.0","593","980"
"0.0.0.0","389","708"
"10.0.2.7","139","4"
"0.0.0.0","135","980"
"127.0.0.1","53","2916"
"10.0.2.7","53","2916"
